# You can find the dataset in the paper titled "NSGAN: A Non-dominated Sorting Optimization-based Generative Adversarial Design Framework for Alloy Discovery." And for your convenience in reviewing, we have pasted the entire contents of the dataset below.
 \,Processing,Ag,Al,B,Be,Bi,Cd,Co,Cr,Cu,Er,Eu,Fe,Ga,Li,Mg,Mn,Ni,Pb,Sc,Si,Sn,Ti,V,Zn,Zr,Elongation (%),Tensile Strength (MPa),Yield Strength (MPa),class
63,Solutionised  + Artificially peak aged,0,0.9875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0,0,0,0,0,,,220,2
64,Solutionised  + Artificially peak aged,0,0.9889,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.005,0,0,0.0026,0,0,0,0,0,0.0015,,201,162,2
65,Solutionised  + Artificially peak aged,0,0.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,,,160,2
66,Strain hardened,0,0.969484742,0,0,0,0,0,0,0.001250625,0,0,0.003501751,0,0,0.010505253,0.012506253,0,0,0,0.00150075,0,0,0,0.001250625,0,20,166,58.6,7
67,Strain hardened,0,0.967725794,0,0,0,0,0,0.002501876,0.000500375,0,0,0.002001501,0,0,0.025018764,0.000500375,0,0,0,0.001250938,0,0,0,0.000500375,0,15,191.5,106,7
68,Strain hardened,0,0.989,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0.005,0,0,0,0,0,,95,75,7
69,Strain hardened,0,0.971,0,0,0,0,0,0.0012,0,0,0,0,0,0,0.027,0.0008,0,0,0,0,0,0,0,0,0,14,260,180,7
70,Strain hardened,0,0.958197747,0,0,0,0,0,0.001251564,0.000500626,0,0,0.002002503,0,0,0.027033792,0.007509387,0,0,0,0.001251564,0,0.001001252,0,0.001251564,0,12.95,240,138,7
71,Strain hardened,0,0.946946947,0,0,0,0,0,0.001501502,0.000500501,0,0,0.002502503,0,0,0.04004004,0.004504505,0,0,0,0.002002002,0,0.000750751,0,0.001251251,0,12.95,261,152.5,7
72,Strain hardened,0,0.940470235,0,0,0,0,0,0.00150075,0.00050025,0,0,0.002001001,0,0,0.044522261,0.007003502,0,0,0,0.002001001,0,0.000750375,0,0.001250625,0,12.95,248.5,148,7
73,Strain hardened,0,0.934233558,0,0,0,0,0,0.001250313,0.000500125,0,0,0.0020005,0,0,0.051012753,0.007501875,0,0,0,0.001250313,0,0.00100025,0,0.001250313,0,12.95,305.5,188.5,7
